@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute mfp-1 numeric
@attribute mfp-2 numeric
@attribute mfp-3 numeric
@attribute mfp-4 numeric
@attribute mfp-5 numeric
@attribute mfp-6 numeric
@attribute mfp-7 numeric
@attribute mfp-8 numeric
@attribute mfp-9 numeric
@attribute mfp-10 numeric
@attribute mfp-11 numeric
@attribute mfp-12 numeric
@attribute mfp-13 numeric
@attribute mfp-14 numeric
@attribute mfp-15 numeric
@attribute mfp-16 numeric
@attribute mfp-17 numeric
@attribute mfp-18 numeric
@attribute mfp-19 numeric
@attribute mfp-20 numeric
@attribute mfp-21 numeric
@attribute mfp-22 numeric
@attribute mfp-23 numeric
@attribute mfp-24 numeric
@attribute mfp-25 numeric
@attribute mfp-26 numeric
@attribute mfp-27 numeric
@attribute mfp-28 numeric
@attribute mfp-29 numeric
@attribute mfp-30 numeric
@attribute mfp-31 numeric
@attribute mfp-32 numeric
@attribute mfp-33 numeric
@attribute mfp-34 numeric
@attribute mfp-35 numeric
@attribute mfp-36 numeric
@attribute mfp-37 numeric
@attribute mfp-38 numeric
@attribute mfp-39 numeric
@attribute mfp-40 numeric
@attribute mfp-41 numeric
@attribute mfp-42 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 {0,1,2,3}
@attribute outputs-3 {0,1,2,3}

@data
656,'2022/09/18 20:05:51:531',25,976.331909,599.49408,925.034119,554.843201,900.224487,496.120087,899.512085,447.354706,899.623474,405.683441,981.92926,441.928009,990.665222,380.85437,998.45575,342.566315,1008.70166,308.931519,1024.056763,451.109924,1059.404419,392.147675,1081.638428,356.190338,1100.947998,324.013092,1054.416016,471.860565,1091.956055,419.10318,1111.460938,385.2229,1127.384399,353.129974,1078.075073,502.187134,1122.850098,466.832123,1151.154907,443.788269,1174.906738,419.473846,1,?,?
657,'2022/09/18 20:05:51:637',25,972.107605,598.575989,922.030029,553.501587,900.359192,495.413696,902.205078,447.357574,901.51709,405.63913,981.922729,441.452606,991.335693,380.023773,999.098389,341.986694,1009.201416,308.894348,1023.753418,451.297577,1059.404663,391.983307,1082.362061,355.873138,1101.826904,324.532745,1054.164795,472.405548,1091.951782,418.759247,1111.231079,384.401764,1126.985229,352.422394,1077.943237,502.714844,1123.224487,467.245819,1152.000732,443.649872,1176.334839,419.028259,1,?,?
658,'2022/09/18 20:05:51:726',25,975.058472,597.97406,923.952759,553.977295,900.868652,495.588013,901.652832,447.162109,901.322388,405.527771,982.223572,440.552948,991.166443,380.29071,999.099243,342.135956,1009.461365,309.139099,1024.776855,449.86499,1060.087158,390.743408,1081.925171,354.401123,1100.718506,322.731812,1055.480835,470.841278,1092.880859,417.118378,1112.047607,383.235779,1127.801514,351.728119,1079.48999,501.225372,1124.161743,465.577362,1152.924316,442.785156,1177.354858,419.229919,1,?,?
659,'2022/09/18 20:05:51:783',25,973.783813,597.258667,922.913513,552.768433,900.643616,494.135803,901.766846,446.097778,901.047058,405.171326,981.991577,440.210541,991.021973,379.3815,999.366211,341.553741,1010.19989,308.800751,1024.371826,449.894684,1060.015503,390.101166,1082.468628,354.169403,1101.552368,323.035522,1054.915771,471.27597,1092.957031,417.283966,1112.418945,383.417053,1128.239258,351.8479,1078.470703,502.173981,1123.6521,466.163818,1152.529175,443.117401,1176.910522,419.09726,1,?,?
660,'2022/09/18 20:05:51:864',25,976.492188,598.609253,924.375305,554.568604,900.046387,496.079193,899.315308,446.938507,899.852356,405.412964,982.180237,441.672028,991.387451,380.232819,999.432861,342.007965,1009.960693,308.867676,1024.278076,450.919128,1060.31311,390.740509,1082.59729,354.609741,1101.578247,323.045288,1054.549927,471.667969,1092.610962,417.446655,1111.876831,383.388306,1127.697388,351.548218,1078.048584,502.072845,1123.498291,466.438751,1152.397583,443.505493,1176.916992,419.421021,1,?,?
661,'2022/09/18 20:05:51:978',25,974.258301,599.92572,922.216248,553.864136,899.741211,495.457825,900.896545,447.437103,901.742859,406.713013,982.09845,440.511932,991.751709,379.572754,999.369019,341.69931,1009.367371,308.968903,1023.953979,450.285736,1059.792358,391.31485,1082.632935,355.475464,1101.894165,324.78772,1054.323975,471.330139,1092.583862,418.732574,1111.963867,384.681549,1127.535889,353.351715,1078.123901,501.404419,1123.91748,465.715515,1152.82373,442.2742,1177.269043,417.886444,1,?,?
662,'2022/09/18 20:05:52:047',25,977.229736,596.478821,926.486084,552.459412,902.634644,495.632568,902.171875,447.602966,903.547363,406.566742,984.359619,438.693909,993.672363,378.290009,1001.747437,340.880096,1012.794678,308.185699,1026.218506,448.285919,1061.666138,389.863037,1084.128418,354.617096,1103.581421,323.475098,1056.129761,469.582733,1093.554443,417.137482,1112.625977,383.416168,1128.556641,351.677887,1079.147339,500.250275,1123.268311,465.595612,1151.849854,442.555145,1176.495361,418.263245,1,?,?
663,'2022/09/18 20:05:52:126',25,976.59613,596.31311,925.582397,551.142395,902.100464,493.624054,903.096313,445.833832,903.438721,405.01059,983.663696,440.296021,992.777832,378.702637,1000.982361,340.886993,1011.913086,307.940674,1025.808594,449.937653,1060.824829,390.630402,1083.081665,354.112152,1102.289429,321.965759,1056.151855,470.673615,1094.441162,417.559875,1113.911133,383.028839,1129.728638,350.70047,1079.57373,500.329132,1124.477417,465.238495,1153.002441,441.847961,1177.240234,417.252716,1,?,?
664,'2022/09/18 20:05:52:182',25,975.638062,596.179993,924.988403,550.45459,902.270752,491.705292,904.034912,443.861572,903.09729,403.717133,982.884827,439.438019,992.779602,378.362091,1001.463013,340.724579,1012.363892,308.446655,1024.849365,449.332153,1060.666992,390.064392,1083.342773,353.686493,1102.425781,322.444763,1055.370239,469.954224,1094.228027,416.457764,1113.815796,382.111359,1129.420288,350.397705,1079.212036,499.533966,1124.498047,464.288849,1152.933105,440.569092,1176.707153,416.175079,1,?,?
665,'2022/09/18 20:05:52:251',25,974.973083,596.928467,924.357056,552.033386,901.860046,492.760406,903.609253,444.786652,903.159546,403.809235,983.789978,439.054047,992.738892,378.525909,1001.011475,341.006622,1011.720703,308.389496,1025.818115,448.62915,1061.116821,389.708862,1083.484131,354.075592,1102.514404,323.052643,1056.113037,469.295135,1093.77063,416.59964,1112.744995,382.94989,1128.192627,351.66748,1079.731934,499.026947,1124.103394,464.428436,1152.699219,441.610596,1176.883789,417.988342,1,?,?
