@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
880,'2023/09/27 21:15:18:693',8,613,192,0.44,0.4,0.36
881,'2023/09/27 21:15:18:754',8,613,192,0.44,0.4,0.36
882,'2023/09/27 21:15:18:823',8,613,192,0.44,0.4,0.36
883,'2023/09/27 21:15:18:891',8,613,192,0.44,0.4,0.36
884,'2023/09/27 21:15:18:957',8,613,192,0.44,0.4,0.36
885,'2023/09/27 21:15:19:024',8,613,192,0.44,0.4,0.36
886,'2023/09/27 21:15:19:089',8,613,192,0.44,0.4,0.36
887,'2023/09/27 21:15:19:157',8,613,192,0.44,0.4,0.36
888,'2023/09/27 21:15:19:221',8,613,192,0.44,0.4,0.36
889,'2023/09/27 21:15:19:290',8,613,192,0.44,0.4,0.36
890,'2023/09/27 21:15:19:354',8,613,192,0.44,0.4,0.36
891,'2023/09/27 21:15:19:423',8,613,192,0.44,0.4,0.36
892,'2023/09/27 21:15:19:488',8,613,192,0.44,0.4,0.36
893,'2023/09/27 21:15:19:555',8,613,192,0.44,0.4,0.36
894,'2023/09/27 21:15:19:621',8,613,192,0.44,0.4,0.36
895,'2023/09/27 21:15:19:689',8,613,192,0.44,0.4,0.36
896,'2023/09/27 21:15:19:754',8,613,192,0.44,0.4,0.36
897,'2023/09/27 21:15:19:822',8,613,192,0.44,0.4,0.36
898,'2023/09/27 21:15:19:889',8,613,192,0.44,0.4,0.36
899,'2023/09/27 21:15:19:954',8,613,192,0.44,0.4,0.36
900,'2023/09/27 21:15:20:020',8,613,192,0.44,0.4,0.36
901,'2023/09/27 21:15:20:089',8,613,192,0.44,0.4,0.36
902,'2023/09/27 21:15:20:172',8,521,295,0.44,0.4,0.36
903,'2023/09/27 21:15:20:264',8,518,234,0.44,0.4,0.36
904,'2023/09/27 21:15:20:372',8,519,151,0.44,0.4,0.36
905,'2023/09/27 21:15:20:485',8,515,56,0.44,0.4,0.36
906,'2023/09/27 21:15:20:546',8,505,-24,0.44,0.4,0.36
907,'2023/09/27 21:15:20:615',8,507,-31,0.44,0.4,0.36
908,'2023/09/27 21:15:20:682',8,513,-24,0.44,0.4,0.36
909,'2023/09/27 21:15:20:753',8,517,23,0.44,0.4,0.36
910,'2023/09/27 21:15:20:818',8,519,48,0.44,0.4,0.36
911,'2023/09/27 21:15:20:880',8,521,76,0.44,0.4,0.36
912,'2023/09/27 21:15:20:947',8,527,107,0.44,0.4,0.36
913,'2023/09/27 21:15:21:027',8,534,140,0.44,0.4,0.36
914,'2023/09/27 21:15:21:134',8,534,193,0.44,0.4,0.36
915,'2023/09/27 21:15:21:230',8,529,212,0.44,0.4,0.36
916,'2023/09/27 21:15:21:334',8,534,207,0.44,0.4,0.36
917,'2023/09/27 21:15:21:447',8,573,199,0.44,0.4,0.36
918,'2023/09/27 21:15:21:527',8,633,191,0.44,0.4,0.36
919,'2023/09/27 21:15:21:636',8,634,172,0.44,0.4,0.36
920,'2023/09/27 21:15:21:745',8,569,163,0.44,0.4,0.36
921,'2023/09/27 21:15:21:857',8,490,162,0.44,0.4,0.36
922,'2023/09/27 21:15:21:931',8,406,166,0.44,0.4,0.36
923,'2023/09/27 21:15:22:034',8,377,177,0.44,0.4,0.36
924,'2023/09/27 21:15:22:137',8,428,181,0.44,0.4,0.36
925,'2023/09/27 21:15:22:253',8,526,178,0.44,0.4,0.36
926,'2023/09/27 21:15:22:328',8,668,177,0.44,0.4,0.36
927,'2023/09/27 21:15:22:438',8,756,182,0.44,0.4,0.36
928,'2023/09/27 21:15:22:529',8,757,182,0.44,0.4,0.36
929,'2023/09/27 21:15:22:639',8,676,208,0.44,0.4,0.36
930,'2023/09/27 21:15:22:747',8,535,219,0.44,0.4,0.36
931,'2023/09/27 21:15:22:825',8,431,239,0.44,0.4,0.36
932,'2023/09/27 21:15:22:935',8,428,248,0.44,0.4,0.36
933,'2023/09/27 21:15:23:046',8,511,261,0.44,0.4,0.36
934,'2023/09/27 21:15:23:126',8,636,314,0.44,0.4,0.36
935,'2023/09/27 21:15:23:211',8,672,380,0.44,0.4,0.36
936,'2023/09/27 21:15:23:303',8,606,544,0.44,0.4,0.36
937,'2023/09/27 21:15:23:403',8,604,698,0.44,0.4,0.36
